NAICS Code,CPV
512191,92110000#92100000
512199,92110000#92100000
5122,92370000#32353000
51223,92300000
512230,92300000
51224,92100000#92300000
512240,92100000#92300000
51225,92100000#92300000
512250,92100000#92300000
51229,92370000#32353000
512290,92370000#32353000
513,79970000
5131,79970000
51311,79970000
513110,79970000
51312,79970000
513120,79970000
51313,79970000
513130,79970000
51314,79970000
513140,79970000
51319,79970000
513191,79970000
513199,79970000
5132,79970000
51321,79970000
513210,79970000
516,64228000#79000000
5161,64228000
51611,64228200
516110,64228200
51612,64228100
516120,64228100
5162,64228000
51621,64228000
516210,64228000
517,64200000#32522000
5171,32510000#64200000
51711,32510000#64200000
517111,32510000#64200000
517112,32510000#64200000
51712,32510000#64200000
517121,32510000#64200000
517122,32510000#64200000
5174,32531000#64200000
51741,32531000#64200000
517410,32531000#64200000
5178,64200000
51781,64200000
517810,64200000
518,48000000#72000000#72310000
5182,48000000#72000000#72310000
51821,48000000#72000000#72310000
518210,48000000#72000000#72310000
519,92500000
5192,92500000
51921,92510000
519210,92510000
51929,72400000
519290,72400000
52,66510000#66000000
521,66111000
5211,66111000
52111,66111000
521110,66111000
522,66517100
5221,66112000
52211,66110000
522110,66110000
52213,66110000
522130,66110000
52218,66112000
522180,66112000
5222,66112000
52221,66110000
522210,66110000
52222,79142000#66000000
522220,79142000#66000000
52229,66113000#66517000
522291,66190000
522292,66120000
522299,66113000#66517000
5223,66113000#66517000
52231,66190000
522310,66190000
52232,66170000
522320,66170000
52239,66113000#66517000
522390,66113000#66517000
523,66100000
5231,66190000
52315,66100000
523150,66100000
52316,66130000#66132000
523160,66130000#66132000
5232,66130000#66132000
52321,66130000#66132000
523210,66130000#66132000
5239,66100000
52391,66000000
523910,66000000
52394,66140000#66100000
523940,66140000#66100000
52399,66100000
523991,66160000#66162000
523999,66100000
524,66510000
5241,66510000
52411,66512220#66512200
524113,66512220#66512200
524114,66512220#66512200
52412,66510000
524126,66515200
524127,66510000
524128,66510000
52413,66700000#66710000
524130,66700000#66710000
5242,66518000#66518100
52421,66518000#66518100
524210,66518000#66518100
52429,66510000
524291,66518300
524292,66510000
524298,66510000
525,66510000
5251,66141000#66523000#66523100
52511,66141000#66523000#66523100
525110,66141000#66523000#66523100
52512,66512200
525120,66512200
52519,66510000
525190,66510000
5259,66510000
52591,66510000
525910,66510000
52592,66510000#66100000
525920,66510000#66100000
52599,66510000#66100000
525990,66510000#66100000
53,70310000#70200000
531,70000000
5311,70200000
53111,70210000
531110,70210000
53112,70220000
531120,70220000
53113,70200000
531130,70200000
53119,70200000
531190,70200000
5312,70100000#70000000
53121,70100000#70000000
531210,70100000#70000000
5313,70100000#70000000
53131,70100000#70000000
531311,70100000#70000000
531312,70100000#70000000
53132,70100000#70000000
531320,70100000#70000000
53139,70100000#70000000
531390,70100000#70000000
532,70300000#70200000
5321,60170000
53211,60170000
532111,60170000
532112,60170000
53212,60170000#60180000
532120,60170000#60180000
5322,39220000
53221,31000000
532210,31000000
53228,39220000
532281,18000000
532282,92110000
532283,33100000
532284,37000000
532289,39220000
5323,60170000#60180000
53231,60170000#60180000
532310,60170000#60180000
5324,42000000
53241,43000000#44000000
532411,34000000
532412,43000000#44000000
53242,30100000
532420,30100000
53249,42000000
532490,42000000
533,66100000
5331,66100000
53311,66100000
533110,66100000
54,71350000
541,71350000
5411,79100000
54111,75240000
541110,75240000
54112,75240000
541120,75240000
54119,79100000
541191,79100000
541199,79100000
5412,79631000#79211100#79211000#79221000
54121,79631000#79211100#79211000#79221000
541211,79211000
541213,79221000#79222000
541214,79631000
541219,79211000
5413,71200000
54131,71200000
541310,71200000
54132,71420000
541320,71420000
54133,71300000
541330,71300000
54134,71354300
541340,71354300
54135,71315400
541350,71315400
54136,71351000
541360,71351000
54137,71355000#71354100
541370,71355000#71354100
54138,71900000
541380,71900000
5414,71220000
54141,79932000
541410,79932000
54142,71220000
541420,71220000
54143,79822500
541430,79822500
54149,71220000
541490,71220000
5415,72212900#48900000
54151,72212900#48900000
541511,72200000
541512,72200000
541513,72514000
541519,72100000#72200000
5416,79000000
54161,79410000
541611,79411000
541612,79414000
541613,79342000
541614,63000000
541618,79400000
54162,90700000
541620,90700000
54169,71350000
541690,71350000
5417,73200000
54171,73200000
541713,73200000
541714,73200000
541715,73200000
54172,73200000
541720,73200000
5418,79416000#79341000
54181,79341000
541810,79341000
54182,79416000
541820,79416000
54183,79400000
541830,79400000
54184,79400000
541840,79400000
54185,79341000
541850,79341000
54186,79341000
541860,79341000
54187,79341000
541870,79341000
54189,79341000
541890,79341000
