NIGP Code,CPV mapping
14042,03115000
14045,03115000
14048,03115000
14051,03115000
14054,03115000
14066,39224100#39224000
14069,39224100#39224000
14075,03115000
14076,39224100#39224000
14078,39224100#39224000
14081,39224100#39224000
14084,39224100#39224000
14087,39224100#39224000
14090,19240000
14500,39224200
14515,39224200
14518,39224200
14520,39224200
14530,39224200
14533,39224200
14535,39224200
14543,39224200
14544,39224200
14545,44820000
14557,39224200
14560,39224200
14565,39224200
14567,39224200
14572,39224200
14575,44510000
14590,34324000
15000,44510000
15002,24911200#39812500
15004,44334000
15005,44111100
15006,30194300
15007,43300000
15008,39141300
15009,43300000
15010,43320000#44110000
15011,44111000
15012,44111200
15013,44200000
15014,43413000#44114000
15015,43413000#44114000
15016,24000000
15017,39291000
15018,38431000#35125000
15019,44221200
15020,44221200
15021,44221200
15022,44221200
15023,44221200
15024,44221200
15025,44221200
15026,44221200
15027,44221200
15028,44332000
15029,44100000
15030,44112310
15031,44112310
15032,35111300
15033,43413000#44114000
15034,34936110#44115811
15035,24000000
15036,44110000
15037,44221200
15038,39100000
15042,44200000
15043,44200000
15044,44200000
15045,3410000
15046,44110000
15049,44110000
15051,44110000
15052,44110000
15053,44110000
15054,44221200
15055,44221240
15056,44112310
15058,44112310
15059,44200000
15060,43413000#44114000
15061,44100000
15065,44221200
15072,44221200
15074,44221200
15076,44221200
15077,44221200
15078,44221200
15079,44221200
15081,44111000
15083,44111000
15084,44111000
15085,44221110
15086,44200000
15087,39141300#18924000
15088,39563530#42500000
15089,44221200
15090,45321000#44111520
15091,44112310
15092,44221100
15093,44221100
15094,44221100
15095,44221100
15096,44221100
15500,44200000
15505,39121200
15507,44113000
15508,44211000
15510,44211000
15512,44211000
15513,44211000
15518,44211000
15520,44112500
15524,44221240
15530,44221240
15537,44100000
15538,44211000
15540,44112000
15542,3100000
15546,44211000
15547,37535200
15548,44112000
15549,44211000
15550,44112000
15553,34930000#34960000
15554,44112000
15560,44112000
15569,44112000
15570,44411000
15572,44200000
15573,44211000
15574,44211000
15575,43320000#44110000
15576,44112000
15577,43320000#44110000
15578,43320000#44110000
15579,43320000#44110000
15580,39522530
15585,44112000
15586,44112000
15588,44211000
15590,44211000
16000,42210000
16004,42210000
16006,42210000
16008,42210000
16010,42210000
16012,42210000
16016,42210000
16019,42215100
16020,39711211#39720000#39722000
16021,39711211#39720000#39722000
16024,42210000
16028,39711211#39720000#39722000
16032,42210000
16036,39711211#39720000#39722000
16040,39711211#39720000#39722000
16044,39711211#39720000#39722000
16045,42210000
16046,42210000
16047,42210000
16048,42210000
16052,42210000
16054,39711211#39720000#39722000
16056,42215100
16060,42215100
16061,44510000
16062,42210000
16063,42210000
16064,42210000
16065,42210000
16068,42210000
16070,42210000
16072,42210000
16076,39711211#39720000#39722000
16077,39711211#39720000#39722000
16078,39721100#39221000
16079,39721100#39221000
16084,39711211#39720000#39722000
16088,42921320
16500,39711211#39720000#39722000
16502,42215100
16505,39315000#39100000
16507,39221000
16508,39711211#39720000#39722000
16510,39711211#39720000#39722000
16512,39711211#39720000#39722000
16514,39830000
16515,42220000
16516,39221000
16517,39711211#39720000#39722000
16518,39221000
16519,39721000#42214000
16520,39721000#42214000
16523,39832000
16526,39221000
16529,39711211#39720000#39722000
16530,42968000
16531,42968000
16532,42968000
16533,42968000
16534,39700000
16535,39221000
16537,39221000
16538,42968000
16541,39221000
16544,42410000
16545,42410000
16546,39700000
16547,39721000#42214000
16548,42410000
16550,42220000
16552,39711211#39720000#39722000
16554,42410000
16557,39315000#39100000
16559,39700000
16560,39721000#42214000
16561,39721000#42214000
16562,39711211#39720000#39722000
16565,39721000#42214000
16568,42410000
16569,42410000
16570,42410000
16573,39721000#42214000
16575,39221000
16576,39711211#39720000#39722000
16577,39221000
16579,39711211#39720000#39722000
16580,39711211#39720000#39722000
16582,39711211#39720000#39722000
16585,42210000
16588,39131000
16589,39700000
16591,39721000#42214000
16592,42933000
16594,39721100#39221000
17500,38341300
17503,38300000#38400000#38000000
17506,38300000#38400000#38000000
17508,38300000
17510,38400000
17511,33793000
17512,33192500
17513,38500000
17514,38300000
17515,38300000#38400000#38000000
17516,38300000#38400000#38000000
17517,44611100#44612100#44611000
17519,38000000
17522,38000000#33100000
17523,33600000#38300000
17524,38300000#38400000#38000000
17525,42716000
17527,38300000
17528,38300000#38400000#38000000
17529,33600000#38300000
17532,38300000#38400000#38000000
17533,42514300
17536,38300000#38400000#38000000
17539,44160000#44162000
17540,33793000
17542,33192500
17544,38300000#38400000#38000000
17546,33720000#38000000
17547,38400000
17548,38400000
17549,33720000#38000000
17551,24000000#42000000
17553,33720000#38000000
17554,38000000#33000000
17555,38400000
17557,33192500
17560,38300000#38400000#38000000
17562,30190000
17565,24000000
17566,38437000
17567,33793000
17568,33793000
17570,33793000
17571,38000000
17572,14523000
17574,33696300
17575,38300000#38400000
17576,33720000#38000000
17577,43400000
17578,38300000#38400000#38000000
17579,33793000
17580,14600000
17582,38436610
17584,38000000
17585,33141310
17587,38400000
17588,31500000
17589,38300000#38400000#38000000
17590,38300000#38400000#38000000
17591,38300000#38400000#38000000
17592,38436610
17593,38300000#38400000#38000000
17595,38300000#38400000#38000000
18000,24110000
18002,14212300
18004,24110000
18006,24321300
18008,24321300
18012,24321300
18014,24311000
18020,24311000
18024,24110000
18028,24110000
18030,24200000
18034,24110000
18036,24110000
18038,33631600
18042,24200000
18044,24110000
18048,24900000
18054,24110000
18058,24311300
18060,24315100
18062,03142400
18066,09100000
18070,24110000
18072,03117100
18074,24110000
18079,24311000
18081,24110000
18084,24110000
18086,24110000
18088,24000000
18090,24110000
18091,24311000
18092,24900000
18093,24311000
18094,24110000
19000,24321300
19018,24110000
19025,24321300
19030,24321300
19036,24500000
19040,24321000
19042,24110000
19043,24321000
19046,24900000
19051,24321000
19055,24321300
