Segment,CPV
25201900,34700000
25202000,34700000
25202100,34730000
25202200,34730000
25202300,34730000
25202400,34730000
25202500,34741000
25202600,38127000# 34700000
25202700,31430000# 34700000
26101100,31110000
26101200,31110000
26101300,31110000
26101400,31100000# 31160000
26101500,34311000
26101700,34311000
26101900,34311000
26111500,31100000
26111600,31120000
26111700,31440000
26111800,42140000
26111900,42141500
26112000,42141500
26112100,42100000
26121500,31300000
26121600,31213300# 31224400
26121700,31300000
26121800,31300000
26131500,42100000
26131600,43411000
26131700,31200000
26131800,31200000
26141600,42000000
26141700,38527300# 38547000
26141800,31400000# 31000000
26141900,38300000
26142000,38900000
26142100,42151000
26142200,9340000
26142300,38436210
26142400,42000000
27111500,44510000
27111600,44510000
27111700,44510000# 44512800
27111800,30192200
27111900,44510000
27112000,16100000# 16800000
27112100,44511000
27112200,44114000
27112300,30192125
27112400,44530000
27112500,42633000
27112600,39360000
27112700,43830000
27112800,44510000
27112900,44510000
27113000,39224200
27113100,44510000
27113200,44510000
27113300,44511000
27121500,42636100
27121600,42121100
27121700,44165100# 44164310
27121800,43328100
27131500,42677000
27131600,44523300
27131700,42121100
27141000,44510000
27141100,42600000
30101500,44212510
30101700,44112700
30101800,44100000
30102000,44174000
30102200,44171000
30102300,44334000
30102400,44332000
30102800,44212400
30102900,44144000
30103100,34936110# 44115811
30103200,44100000
30103500,44100000
30103600,44200000
30103700,39561141
30103800,19720000# 19700000
30103900,42140000
30111500,43413000# 44114000
30111600,44111200# 44921200
30111700,44100000
30121500,44113610
30121600,44113610
30121700,44113000
30121800,44900000
30131500,44111600
30131600,44111100
30131700,44111700# 44113200
30141500,45321000# 44111520
30141600,44110000
30141700,44110000
30151500,44112500
30151600,44112500
30151700,44100000
30151800,44111000
30151900,44100000
30152000,44200000# 44300000
30152100,44110000# 44420000
30161500,44111000
30161600,44111000
30161700,44112000
30161800,39141300
30161900,44110000
30162000,44191200
30162100,44233000
30162200,39141000
30162300,39141300
30162400,44112310
30171500,44221200
30171600,44221100
30171700,39299000
30171800,44115400
30171900,44221110
30172000,44221300
30172100,44221240
30181500,44411000
30181600,44411000
30181700,44411100
30181800,44411000
30191500,44423200# 44212310
30191600,44423200# 44212310
30191700,44211000
30201500,44211000
30201600,44211000
30201700,44211000
30201800,44211000
30201900,44211000
30221000,44112000
30222000,44112000
30222100,44112000
30222200,44112000
30222300,44112000
30222400,44112000
30222500,44112000
30222600,44112000
30222700,44112000
30222800,44112000
30222900,44112000
30223000,44112000
30223100,44112000
30231500,37535280
30231600,44112000
30231700,44112000
30241500,44112000
30241600,44112000
30241700,44112000
30251500,44112000
30261500,44331000
30261600,44172000
30261700,42900000# 42600000
30261800,44331000# 44172000
30261900,42900000# 42600000
30262000,44331000# 44172000
30262100,42900000# 42600000
30262200,44331000
30262300,44172000
30262400,42900000# 42600000
30262500,44331000
30262600,44172000
30262700,42900000# 42600000
30262800,44331000# 44172000
30262900,42900000# 42600000
30263000,44331000
30263100,44172000
30263200,42900000# 42600000
30263300,44331000
30263400,44172000
30263500,42900000# 42600000
30263600,44331000
30263700,44331000
30263800,44331000
30263900,44331000
30264000,44172000
30264100,44172000
30264200,44172000
30264300,42900000# 42600000
30264400,42900000# 42600000
30264500,44331000
30264600,44172000
30264700,42900000# 42600000
30264800,44173000
30264900,44331000
30265000,44172000
30265100,14721000# 42900000# 42600000
30265200,42900000# 42600000
30265300,44331000
30265400,44172000
30265500,42900000# 42600000
30265600,44331000# 44172000
30265700,42900000# 42600000
30265800,44331000# 44172000
30265900,44173000
30266000,44331000
30266100,44172000
30266200,42900000# 42600000
30266300,3410000
30266400,44331000# 44172000
30266500,42900000# 42600000
30266600,44331000# 44172000
30266700,42140000
31101600,43720000
31101700,43720000
31101800,43720000
31101900,43720000
31102000,43720000
31102100,43720000
31102200,43720000
31102300,43720000
31102400,43720000
31102500,43720000
31102600,43720000
31102700,43720000
31102800,43720000
31102900,43720000
31111500,44334000
31111600,42000000# 43000000
31111700,42000000# 43000000
31121000,43720000
31121100,43720000
31121200,43720000
31121300,43720000
31121400,43720000
31121500,43720000
31121600,43720000
31121700,43720000
31121800,43720000
31121900,43720000
31122000,43720000
31122100,43720000
31122200,43720000
31132000,14000000
31132100,42000000
31132200,42000000
31132300,42000000
31132400,42000000
31132500,42000000
31132600,42000000
31132700,42000000
31132800,42000000
31132900,42000000
31133000,42000000
