Description,CPV
Live proteas and leucadendrons and banksias,03100000
Live ranunculuses,03100000
Live scabiosas,03100000
Live scotch brooms,03100000
Live snap dragons,03100000
Live statices,03100000
Live matthiola incana or stock flowers,03100000
Live sunflowers,03100000
Live sweet peas,03100000
Live thistles,03100000
Live tulips,03100000
Live waxflowers,03100000
Live yarrows,03100000
Live zinnias,03100000
Live agapanthuses,03100000
Live alchemillas,03100000
Live alstilbes,03100000
Live angelicas,03100000
Live artemesias,03100000
Live artichoke flowers,03100000
Live astrantias,03100000
Live banana flowers,03100000
Live baptisias,03100000
Live boronias,03100000
Live bromelias,03100000
Live brunias,03100000
Live calatheas,03100000
Live calcynias,03100000
Live calendulas,03100000
Live campanulas or bellflowers,03100000
Live cestrums,03100000
Live chasmanthes,03100000
Live costuses,03100000
Live crocosmias,03100000
Live cytanthuses,03100000
Live rumex or dock flowers,03100000
Live eryngiums,03100000
Live feverfews,03100000
Live forget me nots,03100000
Live gaillardias,03100000
Live gentianas,03100000
Live glamini gladioluses,03100000
Live gloriosas,03100000
Live gomphrena globosa or globe amaranth,03100000
Live hellebores,03100000
Live ixias,03100000
Live liatrises,03100000
Live lysimachias,03100000
Live maracas,03100000
Live marigolds,03100000
Live mimosas,03100000
Live nerines,03100000
Live pepperberry flowers,03100000
Live phlox,03100000
Live physostegias or obedient plant,03100000
Live saponarias,03100000
Live sarracenias,03100000
Live scillas,03100000
Live sedums,03100000
Live single species or varieties of flowers,03100000
Live solomons seals,03100000
Live tanacetums,03100000
Live tracheliums,03100000
Live tuberosas,03100000
Live tweedias,03100000
Live veronicas,03100000
Live watsonias,03100000
Live button chrysanthemums,03100000
Live daisy pompon chrysanthemums,03100000
Live cremon disbud chrysanthemums,03100000
Live football disbud chrysanthemums,03100000
Live spider chrysanthemums,03100000
Live novelty chrysanthemums,03100000
Live santini chrysanthemums,03100000
Fresh cut blue or lavender or purple rose ,03100000
Fresh cut chocolate or brown rose ,03100000
Fresh cut cream rose ,03100000
Fresh cut green or lime rose ,03100000
Fresh cut light pink rose ,03100000
