Description,CPV
Clorazepate dipotassium,33600000
Halazepam,33600000
Lorazepam,33600000
Oxazepam,33600000
Meprobamate,33600000
Alprazolam,33600000
Diazepam,33600000
Midazolam hydrochloride,33600000
Temazepam,33600000
Acetaminophen,33600000
Acetylsalicylic acid,33600000
Mesalamine,33600000
Meprobromate,33600000
Methyl butetisalicylate,33600000
Oxaceprol,33600000
Metamizol sodium,33600000
Acetanilide,33600000
Magnesium salicylate,33600000
Mefenamic acid,33600000
Salicylamide,33600000
Sodium thiosalicylate,33600000
Triethanolamine salicylate,33600000
Antipyrine and benzocaine solution,33600000
Salsalate or salicylsalicylic acid,33600000
Dehydrated alcohol injection,33600000
Auranofin,33600000
Carpofen,33600000
Diclofenac potassium,33600000
Diclofenac sodium,33600000
Flurbiprofen,33600000
Ibuprofen,33600000
Indomethacin,33600000
Ketoprofen,33600000
Naproxen,33600000
Naproxen sodium,33600000
Oxaprozin,33600000
Sulindac,33600000
Suprofen,33600000
Benzydamine hydrochloride,33600000
Diethylamine salicylate,33600000
Diclofenac diethylamine,33600000
Nimesulide,33600000
Benorilate,33600000
Serrapeptase,33600000
Diclofenac,33600000
Sodium aurothiomalate,33600000
Ketorolac trometamol,33600000
Etodolac,33600000
Etofenamate,33600000
Floctafenine,33600000
Emorfazone,33600000
Piroxicam,33600000
Tiaprofenic acid,33600000
Leflunomide,33600000
Celecoxib,33600000
Aurothioglucose,33600000
Bromfenac sodium,33600000
Choline salicylate,33600000
Fenoprofen calcium,33600000
Flurbiprofen sodium,33600000
Indomethacin sodium trihydrate,33600000
Ketorolac tromethamine,33600000
Meclofenamate sodium,33600000
Meloxicam,33600000
Nabumetone,33600000
Rofecoxib,33600000
Tolmetin sodium,33600000
Valdecoxib,33600000
Adalimumab,33600000
Diflunisal,33600000
Anakinra,33600000
Sodium hyaluronate,33600000
Glucosamine,33600000
Acamprosate calcium,33600000
Aceclofenac,33600000
Deracoxib,33600000
Etoricoxib,33600000
Lumiracoxib,33600000
Lysine clonixinate,33600000
Butorphanol tartrate,33600000
Codeine phosphate,33600000
Codeine sulfate,33600000
Meperidine hydrochloride,33600000
Morphine sulfate,33600000
Oxycodone,33600000
Sufentanil citrate,33600000
Nefopam hydrochloride,33600000
Ethylmorphine hydrochloride,33600000
Hydrocodone,33600000
Dihydrocodeine resinate,33600000
Propoxyphene napsylate,33600000
Alfentanil hydrochloride,33600000
Buprenorphine hydrochloride,33600000
Dezocine,33600000
Dihydrocodeine tartrate,33600000
Dihydrocodeine,33600000
Fentanyl,33600000
Fentanyl citrate,33600000
Hydrocodone bitartrate,33600000
Hydromorphone hydrochloride,33600000
Hydrocodone polistirex,33600000
Levomethadyl acetate hydrochloride,33600000
Levorphanol tartrate,33600000
Methadone hydrochloride,33600000
Oxycodone hydrochloride,33600000
Oxymorphone hydrochloride,33600000
Pentazocine hydrochloride,33600000
Pentazocine lactate,33600000
Propoxyphene hydrochloride,33600000
Remifentanil hydrochloride,33600000
Codeine,33600000
Dihydrocodeine bitartrate,33600000
Tramadol hydrochloride,33600000
Opium,33600000
Dextropropoxyphene,33600000
Nalmefene hydrochloride,33600000
Naloxone hydrochloride,33600000
Naltrexone,33600000
Nalbuphine hydrochloride,33600000
Roxatidine,33600000
Atipamezole hydrochloride,33600000
Methysergide maleate,33600000
Sumatriptan succinate,33600000
Ergotamine tartrate,33600000
Dihydroergotamine,33600000
Combination acetaminophen acetylsalicylic acid,33600000
Almotriptan malate,33600000
Dihydroergotamine mesylate,33600000
Frovatriptan succinate,33600000
Isometheptene,33600000
Naratriptan hydrochloride,33600000
Rizatriptan benzoate,33600000
Eletriptan hydrobromide,33600000
Zolmitriptan,33600000
Sumatriptan,33600000
Combination acetaminophen butalbital,33600000
Bromocriptine mesylate,33600000
Carbidopa,33600000
Levodopa,33600000
Selegiline hydrochloride,33600000
Biperiden,33600000
Biperiden hydrochloride,33600000
Pergolide mesylate,33600000
Pramipexole dihydrochloride,33600000
Ropinirole hydrochloride,33600000
Tolcapone,33600000
Entacapone,33600000
Tropacine,33600000
Rasagiline,33600000
Levodopa and carbidopa,33600000
Amphetamine sulfate,33600000
Fenfluramine,33600000
Mazindol,33600000
Pemoline,33600000
Phendimetrazine tartrate,33600000
Pipradrol hydrochloride,33600000
Fenproporex,33600000
Trimethylxanthine,33600000
Amfepramone hydrochloride,33600000
Caffeine,33600000
Dexfenfluramine hydrochloride,33600000
Diethylpropion hydrochloride,33600000
Fenfluramine hydrochloride,33600000
Benzphetamine hydrochloride,33600000
Phentermine hydrochloride,33600000
Phentermine resin,33600000
Sibutramine hydrochloride monohydrate,33600000
Methylphenidate hydrochloride,33600000
Ammonia aromatic spirit,33600000
Phenylbutazone,33600000
Meclofenamic acid,33600000
Riluzole,33600000
Chloroform,33600000
Eutectic mixture of local anesthetics EMLA,33600000
Ropivacaine,33600000
Lidocaine,33600000
Bupivacaine,33600000
Amethocaine hydrochloride,33600000
Oxybuprocaine,33600000
Lignocaine,33600000
Benzocaine,33600000
Prilocaine,33600000
Quinisocaine hydrochloride,33600000
Dibucaine,33600000
Halothane,33600000
Amylocaine hydrochloride,33600000
Septocaine,33600000
Hyaluronidase,33600000
Mepivacaine,33600000
Articaine,33600000
Isoflurane,33600000
Procaine,33600000
Thiopental sodium,33600000
Benoxinate hydrochloride,33600000
Butamben,33600000
Chlorobutanol,33600000
Chloroprocaine hydrochloride,33600000
Cocaine hydrochloride,33600000
Desflurane,33600000
Dyclonine hydrochloride,33600000
Enflurane,33600000
Ether,33600000
Ethyl chloride,33600000
Etidocaine hydrochloride,33600000
Etomidate,33600000
Ketamine hydrochloride,33600000
Levobupivacaine hydrochloride,33600000
Levonordefrin,33600000
Lidocaine hydrochloride,33600000
Methohexital sodium,33600000
Pramoxine hydrochloride,33600000
Proparacaine hydrochloride,33600000
Propofol,33600000
Sevoflurane,33600000
Tetracaine,33600000
Tetracaine hydrochloride,33600000
Doxapram hydrochloride,33600000
Methoxyflurane,33600000
Cinchocaine hydrochloride,33600000
Dichlorotetrafluoroethane,33600000
Bethanechol chloride,33600000
Edrophonium chloride,33600000
Physostigmine salicylate,33600000
Pilocarpine nitrate,33600000
Tropatepine hydrochlorate,33600000
Esterase inhibitor,33600000
Ambenonium chloride,33600000
Dexpanthenol,33600000
Donepezil hydrochloride,33600000
Galantamine hydrobromide,33600000
Mepenzolate bromide,33600000
Neostigmine methylsulfate,33600000
Neostigmine bromide,33600000
Pyridostigmine bromide,33600000
Rivastigmine tartrate,33600000
Tacrine hydrlochloride,33600000
Cevimeline hydrchloride,33600000
Lecithin or phosphatidylcholine,33600000
Atropine sulfate,33600000
Benztropine mesylate,33600000
Procyclidine hydrochloride,33600000
Trihexyphenidyl hydrochloride,33600000
Cyclopentolate hydrochloride,33600000
Tropicamide,33600000
Clidinium bromide,33600000
Dicyclomine hydrochloride,33600000
Propantheline bromide,33600000
Belladonna alkaloids,33600000
Glycopyrrolate,33600000
Hyoscyamine sulfate,33600000
Scopolamine hydrobromide,33600000
Homatropine hydrobromide,33600000
Caramiphen,33600000
Atropine,33600000
Albuterol,33600000
Brimonidine tartrate,33600000
Epinephrine,33600000
Epinephrine borate,33600000
Epinephrine hydrochloride,33600000
Isoproterenol,33600000
Isoproterenol sulfate,33600000
Levarterenol bitartrate,33600000
Phenylpropanolamine hydrochloride,33600000
Phenylephrine hydrochloride,33600000
Terbutaline sulfate,33600000
Arbutamine hydrochloride,33600000
Cinnamedrine hydrochloride,33600000
D amphetamine sulfate,33600000
Ephedrine sulfate,33600000
Isoproterenol hydrochloride,33600000
Mephentermine sulfate,33600000
Metaraminol bitartrate,33600000
Pseudoephedrine,33600000
Salmeterol xinafoate,33600000
Midodrine hydrochloride,33600000
Levalbuterol hydrochloride,33600000
Tetrahydrozoline hydrochloride,33600000
Naphazoline hydrochloride,33600000
Dipivefrin,33600000
Phenylpropanolamine,33600000
Norepinephrine bitartrate,33600000
Hydroxyamphetamine hydrobromide,33600000
Methamphetamine hydrochloride,33600000
Epinephrine bitartrate,33600000
Metaproterenol sulfate,33600000
Dobutamine hydrochloride,33600000
Dipivefrin hydrochloride,33600000
Albuterol sulfate,33600000
Amphetamine aspartate,33600000
Isoetharine mesylate,33600000
Dopamine hydrochloride,33600000
Formoterol fumarate,33600000
Methoxamine hydrochloride,33600000
Isoetharine hydrochloride,33600000
Ephedrine,33600000
Phenylephrine,33600000
Pseudoephedrine hydrochloride,33600000
Ephedrine hydrochloride,33600000
Pseudoephedrine tannate,33600000
Pseudoephedrine sulfate,33600000
Racepinephrine hydrochloride,33600000
Naphazoline,33600000
Destroamphetamine,33600000
Arformoterol,33600000
Atenolol,33600000
Esmolol hydrochloride,33600000
Nadolol,33600000
Pindolol,33600000
Timolol maleate,33600000
Phentolamine mesylate,33600000
Yohimbine hydrochloride,33600000
Propranolol hydrochloride,33600000
Acebutolol,33600000
Betaxolol hydrochloride,33600000
Tolazoline hydrochloride,33600000
Prazosin hydrochloride,33600000
Tamsulosin hydrochloride,33600000
Carteolol hydrochloride,33600000
Terazosin hydrochloride,33600000
Phenoxybenzamine hydrochloride,33600000
Penbutolol sulfate,33600000
Metoprolol succinate,33600000
Labetalol hydrochloride,33600000
Doxazosin mesylate,33600000
Dapiprazole hydrochloride,33600000
Baclofen,33600000
Chlorzoxazone,33600000
Dantrolene sodium,33600000
Methocarbamol,33600000
Carisoprodol,33600000
Isoxsuprine,33600000
Ritodrine hydrochloride,33600000
Orphenadrine citrate,33600000
Nonivamide,33600000
Suxamethonium,33600000
Thiocolchicoside,33600000
Chlorphenesin carbamate,33600000
Cyclobenzaprine hydrochloride,33600000
Metaxalone,33600000
Succinylcholine chloride,33600000
Tizanidine hydrochloride,33600000
Alfuzosin,33600000
Propiverine HCl ,33600000
Tolterodine,33600000
Atracurium besylate,33600000
Mivacurium chyloride,33600000
Rocuronium bromide,33600000
Vecuronium bromide,33600000
Botulinum toxin,33600000
Cisatracurium besylate,33600000
Doxacurium chloride,33600000
Metocurine iodide,33600000
Pancuronium bromide,33600000
Rapacuronium bromide,33600000
Tubocurarine chloride,33600000
Pipecuronium bromide,33600000
Bitolterol mesylate,33600000
Nedocromil sodium,33600000
Pirbuterol acetate,33600000
Aminophylline,33600000
Theophylline,33600000
Terbutaline,33600000
Formoterol,33600000
Salbutamol sulphate,33600000
Etofylline,33600000
Sodium cromoglicate,33600000
Dyphylline,33600000
Oxtriphylline,33600000
Montelukast sodium,33600000
Zafirlukast,33600000
Zileuton,33600000
Pranlukast hydrate,33600000
Carmoterol,33600000
Ciclesonide,33600000
Cilomilast,33600000
Tulobuterol,33600000
Reproterol hydrochloride,33600000
Tiotropium bromide,33600000
Beclomethasone,33600000
Astemizole,33600000
Clemastine fumarate,33600000
Dexchlorpheniramine maleate,33600000
Levocabastine hydrochloride,33600000
Loratadine,33600000
Terfenadine,33600000
Betahistine hydrochloride,33600000
Triprolidine hydrochloride,33600000
Promethazine,33600000
Oxomemazine,33600000
Ebastine,33600000
Dihydroergotoxine mesilate,33600000
Meclozine hydrochloride,33600000
Cetirizine,33600000
Betahistine,33600000
Buclizine hydrochloride,33600000
Alimemazine,33600000
Mepyramine maleate,33600000
Diphenhydramine,33600000
Fexofenadine hydrochloride,33600000
Cromolyn sodium,33600000
Hydroxyzine pamoate,33600000
Azatadine maleate,33600000
Azelastine hydrochloride,33600000
Bosentan,33600000
Brompheniramine maleate,33600000
Carbinoxamine maleate,33600000
Cetirizine hydrochloride,33600000
Chlorpheniramine maleate,33600000
Chlorpheniramine tannate,33600000
Cyproheptadine hydrochloride,33600000
Desloratadine,33600000
Dexbrompheniramime maleate,33600000
Diphenhydramine hydrochloride,33600000
Diphenhydramine tannate,33600000
Hydroxyzine hydrochloride,33600000
Ketotifen fumarate,33600000
Olopatadine hydrochloride,33600000
Phenindamine tartrate,33600000
Acrivastine,33600000
Brompheniramine,33600000
Emedastine difumarate,33600000
Lodoxamide tromethamine,33600000
Promethazine hydrochloride,33600000
Pemirolast potassium,33600000
Mizolastine,33600000
Epinastine hydrochloride,33600000
Levocetirizine dihydrochloride,33600000
Levocetirizine hemihydrate,33600000
Acetylcysteine,33600000
Beractant,33600000
Budesonide,33600000
Colfosceril palmitate,33600000
Ipratropium bromide,33600000
Sobrerol,33600000
Bamifylline hydrochloride,33600000
Dornase alfa,33600000
Poractant alfa,33600000
Calfactant,33600000
Benzonatate,33600000
Guaifenesin,33600000
Menthol,33600000
Carbocisteine,33600000
Ammonia chloride,33600000
Dextromethorphan,33600000
Oxolamine citrate,33600000
Pholcodine,33600000
Bromhexine,33600000
Combination chlorpheniramine acetaminophen,33600000
Potassium guaiacolsulfonate,33600000
Phenylpropanolamine bitartrate,33600000
Carbetapentane tannate,33600000
Dextromethorphan hydrobromide,33600000
Dextromethorphan polistirex,33600000
Dextromethorphan tannate,33600000
Eucalyptol or eucalyptus oil,33600000
Oxymetazoline hydrochloride,33600000
Xylometazoline hydrochloride,33600000
Calcium carbonate,33600000
Magaldrate,33600000
Magnesium hydroxide,33600000
Sodium bicarbonate antacids,33600000
Simethicone,33600000
Hydrotalcite,33600000
Magnesium carbonate,33600000
Betaine hydrochloride,33600000
Magnesium trisilicate,33600000
Aluminium hydroxide,33600000
Dihydroxyaluminum sodium carbonate,33600000
Cascara sagrada,33600000
Docusate calcium,33600000
Docusate potassium,33600000
Docusate sodium,33600000
Lactulose,33600000
Magnesium sulfate,33600000
Psyllium hydrophilic muciloid,33600000
Glycerine,33600000
Dehydrocholic acid,33600000
Senna or sennosides,33600000
Bisacodyl stimulant,33600000
Methylcellulose,33600000
Aloin,33600000
Bisacodyl,33600000
Calcium polycarbophil,33600000
Casanthranol,33600000
Castor oil,33600000
Cisapride monohydrate,33600000
Glycerin suppositories,33600000
Magnesium citrate,33600000
Metoclopramide hydrochloride,33600000
Sodium phosphate,33600000
Phenolphthalein,33600000
Psyllium seed,33600000
Potassium bitartrate,33600000
Potassium sodium tartrate,33600000
Potassium phosphate,33600000
Sodium sulfate,33600000
Mineral oil,33600000
Polyethylene glycol laxative preparation,33600000
Magnesium chloride,33600000
Lubiprostone,33600000
Difenoxin hydrochloride,33600000
Loperamide hydrochloride,33600000
Paregoric,33600000
Nifuroxazide,33600000
Attapulgite,33600000
Bismuth subsalicylate,33600000
Diphenoxylate hydrochloride,33600000
Saccharomyces boulardii,33600000
Alosetron hydrochloride,33600000
Kaolin mixture with pectin,33600000
Purified pectin with acidophilus,33600000
Dronabinol,33600000
Granisetron hydrochloride,33600000
Meclizine hydrochloride,33600000
Ondansetron hydrochloride,33600000
Trimethobenzamide hydrochloride,33600000
Metoclopramide,33600000
Cinnarizine,33600000
Difenidol hydrochloride,33600000
Cyclizine,33600000
Combinational fructose Dextrose and phosphoric acid,33600000
Prochlorperazine,33600000
Metopimazine,33600000
Dolasetron mesylate,33600000
Cyclizine hydrochloride,33600000
Ondansetron,33600000
Prochlorperazine edisylate,33600000
Prochlorperazine maleate,33600000
Thiethylperazine maleate,33600000
Dimenhydrinate,33600000
Aprepitant,33600000
Palonosetron hydrochloride,33600000
Granisetron base,33600000
Cimetidine,33600000
Famotidine,33600000
Nizatidine,33600000
Ranitidine hydrochloride,33600000
Cisapride,33600000
Lansoprazole,33600000
Chlordiazepoxide hydrochloride or clidinium bromide combination,33600000
Misoprostol,33600000
Omeprazole,33600000
Pancreatin,33600000
Sucralfate,33600000
Cimetidine hydrochloride,33600000
Esomeprazole magnesium trihydrate,33600000
Pantoprazole sodium sesquihydrate,33600000
Pantoprazole sodium,33600000
Rabeprazole sodium,33600000
Ranitidine bismuth citrate,33600000
Aluminum carbonate,33600000
Amlexanox,33600000
Pantopra,33600000
Doramectin,33600000
Tegaserod maleate,33600000
Racecadotril,33600000
Ramosetron,33600000
Rebamipide ,33600000
Sevelamer,33600000
Chenodiol,33600000
Monoctanoin,33600000
Ursodiol,33600000
Dimethyl sulfoxide,33600000
Mebeverine hydrochloride,33600000
Dicycloverine hydrochloride,33600000
Pitofenone hydrochloride,33600000
Phloroglucinol,33600000
Oxybutynin hydrochloride,33600000
Hyoscine butylbromide,33600000
Viquidil hydrochloride,33600000
Trimebutine,33600000
Prozapine hydrochloride,33600000
Alverine,33600000
Acarbose,33600000
Acetohexamide,33600000
Chlorpropamide,33600000
Glimepiride,33600000
Glipizide,33600000
Insulin,33600000
Glucagon,33600000
Gliclazide,33600000
Phenformin hydrochloride,33600000
Buformin,33600000
Nateglinide,33600000
Pancreatic extract,33600000
Tolbutamide,33600000
Glibenclamide or glyburide,33600000
Metformin hydrochloride,33600000
Miglitol,33600000
Pioglitazone hydrochloride,33600000
Repaglinide,33600000
Rosiglitazone maleate,33600000
Tolazamide,33600000
Troglitazone,33600000
Mosapride,33600000
Epalrestat,33600000
Voglibose,33600000
Exenatide,33600000
Levothyroxine sodium,33600000
Liothyronine sodium,33600000
Liotrix,33600000
Thyrotropin,33600000
Methimazole,33600000
Propylthiouracil,33600000
Potassium iodide,33600000
Levothyroxine,33600000
Sodium iodide,33600000
Betamethasone,33600000
Corticotropin,33600000
Cosyntropin,33600000
Dexamethasone,33600000
Flunisolide,33600000
Hydrocortisone,33600000
Methylprednisolone,33600000
Prednisolone,33600000
Triamcinolone,33600000
Desoximetasone,33600000
Meprednisone,33600000
Risedronic acid,33600000
Prednisone,33600000
Prednicarbate,33600000
Cortisone,33600000
Cortivazol,33600000
Desoxycortone acetate,33600000
Deflazacort,33600000
Fluocinolone acetonide,33600000
Diflorasone diacetate,33600000
Corticorelin ovine triflutate,33600000
Fluticasone,33600000
Hydrocortisone acetate,33600000
Hydrocortisone buteprate,33600000
Hydrocortisone butyrate,33600000
Hydrocortisone sodium phosphate,33600000
Hydrocortisone valerate,33600000
Methylprednisolone acetate,33600000
Methylprednisolone sodium succinate,33600000
Prednisolone acetate,33600000
Triamcinolone acetonide,33600000
Triamcinolone diacetate,33600000
Triamcinolone hexacetonide,33600000
Alclometasone dipropionate,33600000
Halobetasol propionate,33600000
Fluorometholone,33600000
Halcinonide,33600000
Fludrocortisone acetate,33600000
Rimexolone,33600000
Dexamethasone sodium phosphate,33600000
Loteprednol etabonate,33600000
Clobetasol propionate,33600000
Clocortolone pivalate,33600000
Fluocinonide,33600000
Flurandrenolide,33600000
Amcinonide,33600000
Hydrocortisone probutate,33600000
Medrysone,33600000
Mometasone furoate,33600000
Desonide,33600000
Prednisolone sodium phosphate,33600000
Beclomethasone dipropionate,33600000
Cortisone acetate,33600000
Betamethasone dipropionate,33600000
Betamethasone valerate,33600000
Melengestrol acetate,33600000
Chlorotrianisene,33600000
Estrone,33600000
Estrogens conjugated,33600000
Estropipate,33600000
Levonorgestrel,33600000
Megestrol acetate,33600000
Ethinyl estradiol,33600000
Mestranol,33600000
Chlormadinone acetate,33600000
Desogestrel and ethinyl estradiol,33600000
Dienestrol,33600000
Estradiol,33600000
Ethisterone,33600000
Estradiol and norethisterone acetate,33600000
Hydroxyestrone diacetate,33600000
Promestriene,33600000
Progesterone,33600000
Promegestone,33600000
Gestrinone,33600000
Estradiol cypionate,33600000
Estradiol valerate,33600000
Esterified estrogen,33600000
Ethynodiol diacetate,33600000
Diethylstilbestrol diphos,33600000
Hydroxyprogesterone caproate,33600000
Medroxyprogesterone acetate,33600000
Norethindrone,33600000
Norethindrone acetate,33600000
Norgestimate,33600000
Norgestrel,33600000
Etonogestrel and ethinyl estradiol combination,33600000
Ethinyl estradiol and ethynodiol diacetate combination,33600000
Norethindrone and ethinyl estradiol combination,33600000
Altrenogest,33600000
Gestodene,33600000
Chorionic gonadotropin,33600000
Danazol,33600000
Gonadorelin acetate,33600000
Histrelin acetate,33600000
Menotropins,33600000
Urofollitropin,33600000
Fosfestrol sodium,33600000
Clomiphene citrate,33600000
Follitropin,33600000
Gonadorelin hydrochloride,33600000
Lynoestrenol,33600000
Finasteride,33600000
Testosterone,33600000
Testosterone cypionate,33600000
Testosterone enanthate,33600000
Testosterone propionate,33600000
Trenbolone Acetate,33600000
Methandriol,33600000
Fluoxymesterone,33600000
Methyltestosterone,33600000
Nandrolone decanoate,33600000
Nandrolone phenpropionate,33600000
Prasterone,33600000
Stanozolol,33600000
Dutasteride,33600000
Desmopressin acetate,33600000
Vasopressin,33600000
Dinoprostone,33600000
Methylergonovine maleate,33600000
Oxytocin,33600000
Ergonovine maleate,33600000
Somatrem,33600000
Somatropin,33600000
Somatostatin,33600000
Octreotide acetate,33600000
Calcium chloride,33600000
Calcium gluconate,33600000
Calcium lactate,33600000
Dibase calcium phosphate,33600000
Alendronate sodium,33600000
Calcitonin,33600000
Cellulose sodium phosphate,33600000
Gallium nitrate,33600000
Etidronate disodium,33600000
Nandrolone,33600000
Tribasic calcium phosphates,33600000
Calcium glycero phosphate,33600000
Zoledronic acid,33600000
Pamidronate disodium,33600000
Risedronate sodium,33600000
Calcium acetate,33600000
Calcium glucoheptonate or calcium gluceptate,33600000
Dihydrotachysterol,33600000
Nitrendipine,33600000
Benidipine hcl,33600000
Ibandronate,33600000
Raloxifene hcl,33600000
Chlorothiazide,33600000
Chlorthalidone,33600000
Metolazone,33600000
Bumetanide,33600000
Ethacrynate sodium,33600000
Amiloride hydrochloride,33600000
Spironolactone,33600000
Triamterene,33600000
Mannitol,33600000
Furosemide,33600000
Canrenoate potassium,33600000
Lasitone,33600000
Bendroflumethiazide,33600000
Ethacrynic acid,33600000
Hydrochlorothiazide,33600000
Hydroflumethiazide,33600000
Isosorbide,33600000
Methyclothiazide,33600000
Pamabrom,33600000
Polythiazide,33600000
Torsemide,33600000
Trichlormethiazide,33600000
Urea osmotic diuretic,33600000
Dextrose,33600000
Sodium chloride electrolytes,33600000
Total parenteral alimentation or nutrition TPN solutions,33600000
Lactated ringers solution,33600000
Sterile water for injection,33600000
Cupric chloride,33600000
Tromethamine,33600000
Sodium lactate,33600000
Sodium acetate,33600000
Multiple electrolyte solutions,33600000
Citric acid and potassium citrate combination,33600000
Citric acid and sodium citrate combination,33600000
Potassium bicarbonate,33600000
Potassium chloride,33600000
Potassium gluconate,33600000
Potassium acetate,33600000
Potassium supplement,33600000
Residue of maize germ,33600000
Amino acid supplements,33600000
Phentermine,33600000
Phospholipids,33600000
Vitamin supplements,33600000
Oral rehydration solution,33600000
Ammonium molybdate,33600000
Orlistat,33600000
Thiamine,33600000
Calcitriol,33600000
Retinol,33600000
Azathioprine,33600000
Cyclosporine,33600000
Mycophenolate mofetil,33600000
Tacrolimus,33600000
Antilymphocyte,33600000
Defibrotide,33600000
Aldesleukin,33600000
Basiliximab,33600000
Daclizumab,33600000
Imiquimod,33600000
Muromonab CD3,33600000
Mycophenolate mofetil hydrochloride,33600000
Peginterferon,33600000
Pimecrolimus,33600000
Sirolimus,33600000
Antilymphocyte or lymphocyte immune globulin,33600000
Guanidine hydrochloride,33600000
Azathioprine sodium,33600000
Alefacept,33600000
Anthrax antigen,33600000
Brucella antigen,33600000
Cholera vaccine,33600000
Diphteria,33600000
Encephalitis virus vaccine,33600000
Hemophilus influenzae,33600000
Hepatitis B virus vaccine,33600000
Influenza virus vaccine,33600000
Measles virus vaccine,33600000
Meningococcal vaccine,33600000
Morbilli,33600000
Mumps virus vaccine,33600000
Parotitis,33600000
Pertussis vaccine,33600000
Pneumococcal vaccine,33600000
Poliovirus vaccine,33600000
Rabies vaccine,33600000
Rota virus,33600000
Rubella virus vaccine,33600000
Smallpox,33600000
Tetanus toxoid,33600000
Tuberculosis,33600000
Typhoid vaccine,33600000
Varicella virus vaccine,33600000
Yellow fever vaccine,33600000
Hepatitis a,33600000
Haemophilus B vaccine,33600000
Measles and mumps and rubella virus vaccine,33600000
Diphtheria and tetanus toxoids absorbed,33600000
Diptheria and tetanus toxoids and acellular pertussis vaccine,33600000
Diptheria and tetanus and wholecell pertussis,33600000
Haemophilus influenzae b with diptheria and tetanus and acellular pertussis,33600000
Haemophilus influenzae B with diptheria and tetanus and wholecell pertussis conjugated vaccine,33600000
Hepatitis A virus vaccine,33600000
Lyme disease vaccine,33600000
Plague vaccine,33600000
Staphylococcus vaccine,33600000
Measles and rubella virus vaccine,33600000
BCG vaccine,33600000
Rubella and mumps virus vaccine,33600000
Human papilloma virus vaccine,33600000
Hypcuprsis,33600000
E Coli,33600000
Gumboro,33600000
Avian infectious bronchitis,33600000
Newcastle,33600000
Bacterial immunoglobulins,33600000
Filgrastim,33600000
Pegfilgrastim,33600000
Sargramostim,33600000
Rho D immuno globulins,33600000
Immuno Globulin or Gamma IGG,33600000
Viral immunoglobulins,33600000
Levamisole hydrochloride,33600000
Interferon,33600000
Galsulfase,33600000
Thalidomide,33600000
Glatiramer acetate,33600000
Allopurinol,33600000
Colchicine,33600000
Probenecid,33600000
Sulfinpyrazone,33600000
Benzbromarone,33600000
Deferoxamine mesylate,33600000
Dexrazoxane,33600000
Digoxin Immune Fab,33600000
Dimercaprol,33600000
Edetate disodium,33600000
Flumazenil,33600000
Ipecac,33600000
Penicillamine,33600000
Protamine sulfate,33600000
Sodium polystyrene sulfonate,33600000
Trientine,33600000
Leucovorin,33600000
Sorbitol,33600000
Methylene blue,33600000
Antivenins,33600000
Leucovorin calcium,33600000
Activated charcoal antidote,33600000
Edetate calcium disodium,33600000
Fomepizole,33600000
Pralidoxime chloride,33600000
Sodium thiosulfate,33600000
Succimer,33600000
Copper sulfate,33600000
Exopeptidase G2,33600000
Xylazine,33600000
Etheric oil,33600000
Centella asiatica extract,33600000
Ipecacuanha extract,33600000
Aesculus,33600000
Aconitum napelus,33600000
Valerian,33600000
Garlic,33600000
Chelidonium majus,33600000
Soapwort,33600000
Primula,33600000
Pimpinella,33600000
Coriander,33600000
Hedera helix,33600000
Gumplant,33600000
Boneset,33600000
Echinacea,33600000
Aconite,33600000
Coccus cacti,33600000
Catnip,33600000
Ginseng,33600000
Asafetida,33600000
Bilberry,33600000
Arnica,33600000
Balsam peru,33600000
Eyebright,33600000
Ginkgo biloba,33600000
Hydrastis,33600000
Gotu kola,33600000
Saw palmetto,33600000
Pygeum africanum,33600000
Angelica root,33600000
Gentian violet,33600000
Capsaicin,33600000
Milk thistle,33600000
Black cohosh,33600000
Sodium flourides,33600000
Disulfiram,33600000
Nicotine,33600000
Nicotine polacrilex,33600000
Varenicline,33600000
Aminohippurate sodium,33600000
Ethiodized oil,33600000
Fluorescein sodium,33600000
Indigotindisulfonate sodium,33600000
Indocyanine green,33600000
Methacholine chloride,33600000
Metyrapone,33600000
Rose bengal sodium I 131,33600000
Meglumine Ioxaglate,33600000
Radiopharmaceutical preparation kit,33600000
Iopamidol,33600000
Sildenafil citrate,33600000
Vardenafil hydrochloride,33600000
Dapoxetine,33600000
Tadalafil,33600000
Diazoate,33600000
Iodixanol,33600000
Barium sulfate,33600000
Gadolinium,33600000
Loversol,33600000
Dioctyl sodium sulphosuccinate,33600000
Triethanolamine polypeptide oleate,33600000
Acetylcholine chloride,33600000
Apraclonidine hydrochloride,33600000
Bimatoprost,33600000
Brinzolamide,33600000
Carbachol,33600000
Demecarium bromide,33600000
Dorzolamide hydorchloride,33600000
Echothiophate iodide,33600000
Epinephryl borate,33600000
Latanoprost,33600000
Levobunolol hydrochloride,33600000
Metipranolol,33600000
Physostigmine sulfate,33600000
Pilocarpine hydrochloride,33600000
Timolol,33600000
Travoprost,33600000
Unoprostone isoprpyl,33600000
Dichlorphenamide,33600000
Methazolamide,33600000
Artificial tears,33600000
Polivinilic alcohol,33600000
Salicylic acid,33600000
Azelaic acid,33600000
Bismuth subcarbonate,33600000
Boric acid,33600000
Calamine,33600000
Chloroxine,33600000
Topcial coal tar preparations,33600000
Hydrophillic creams or ointments,33600000
Hydroquinone,33600000
Methyl salicylate,33600000
Minoxidil topical solution,33600000
Papain,33600000
Topical pine tar preparation,33600000
Podofilox,33600000
